共：22090个

拼音,数量,内容
ye,83,漜靥邪擨葉谒嘩嶫鋣澲殜擪驜业吔琊腋煠咽掖亱曅嘢叶鸈饁野捓耶埜偞馌瞱璍壄噎曄鎁蠮烨燁鄴釾擛铘瑘邺拽爺瞸爷椰鐷也倻曗皣鵺夜嶪鎑餣峫頁曳页液擫殗謁射冶潱鍱業枼揶墷忦僷哗靨晔
yi,375,彝蟻缢衤毅襼恞郼廙蜴嬑伿袣驿詣袘宜蛾旖谊翳銕艺虉獈乙蛇熼緆瞖繹忆臆峓炈饐移釔靾隿溰懌竡寱珆秇嬟揖瘞燡譯羠槸肄袲訑斁柂咿尾齮依幆藙繶颐曳帟竕礒頉液澺肊翌轶圯侇鸃呹悘乂熪槷曎峄羛呓悥衣浥鹢鶍异褹贻荑彜瀷胣食蚁裛骮篒鮧駅俋杙邑眱彞苅竩異彛檹易艗抑迤蓺讉沶殪熤熠壹嶷瓵衪榏敡讛裔眙跇屹掜竓癔芅禕呭苐穓疫胰译鞥鯣弬伊弈苡杝刈痍夷歝笖亄萓瘱虵醷铱渏嗌薏謚簃義椅嬄歋扅檍枍鷾苢浳螔宧殔佚議翊詒镱鈶潩萟腋掖顡燚椬抴醫瑿噫仪鹝洟议绎怡顗益亦洂嫕曀陭誼勚餏庡晲壱义霬醳豛艤姨挹暆椸艾嫛湙埸驛飴鐿螘稦貤鳦劮帠鈠溢饴泆蘙鷁棭逸兿矣蛡膉億崺憶鹥焲酏眤肔垼豷瘗燱頥宐劓欭仡佾藝檥冝嶬倚遺匜夁儀猗洢怈勩咦逘墿埶桋頤唈黟旑迆沂豙钇軼螠乁毉扆齸栘顊捙阣舣诒貽伇巸觺浂已一医痬謻訲譩銥蛦轙欹鷖翼枻黳鉯疑跠釴殹怿悒鷧偯嶧囈阝鈘役祎漪迻訳輢吚圛繄寲蛜意縊弌以诣晹籎羿撎箷奕镒鎰懿黓栧玴遗弋亿
yiao,1,鴁
yin,144,歅鷣蟫姻慇垔馻尹乚緸憖泿霠檼濦蔭嚚圁烎蔩隱吲寅湮囙堙誾訚隐引靷廕殷筃殥蘟银陰憗淫檃摿鄞滛慭訔阥懚飮唫婬檭凐洇廴绬因音阴噖蚓縯讔隠龈苂螾胤隂銀駰愔鮣斦銦陻櫽溵饮淾茚磤崟茵韾烟韽裀荫峾絪紖秵骃湚碒癊垽侌洕齦鈏吟狺氤趛闉听婣癮朄猌鏔釿栶濥噾铟檐瘾黫禋粌嶾諲酳冘垠璌訡霪窨印荶蒑圻飲瘖鞇崯龂夤喑鈝
ying,137,鍈褮蠳碤瀯媵鐛瓔潁瀠煐梬礯迎嚶鸎萦蝇滎巆鷪硬蝿鶧颍霒甖珱熒莺婴锳蛍撄摬溋灜楹景孆朠孾鴬暎鶯赢鹰媖籯颕瀴癭瀛攍应渶影螢罃應嫈英嬴樱蝧譻穎瑩濚鑍荧瀅蓥攖膺盈灐緓郢賏鞕嬰滢溁营廮映巊璄萤噟瑛櫿籝鹦蘡偀鎣潆浧頴桜罌矨楧璎韺営萾贏縈營甇膡瘿纓鸚僌藀颖譍応缨謍鷹塋莹荥鶑嘤櫻蠅罂茔霙盁濙
yo,4,唷喲育哟
yong,71,雍傭鏞擁廱蛹俑禜用惥栐邕傛镛鄘澭踴嗈灉蕯颙慂硧庸埇塎愹永恿墉勇踊嵱愑鯒臃佣顒勈饔搈郺湧癰喁甬彮柡鲬悀蒏痈醟詠嫞慵鳙牎鱅槦癕嫆銢雝咏壅滽拥噰泳涌
you,112,懮铕斿忧魷莤鱿鮋又櫌右蝣輏梄幼纋優优由犹滺铀幽糿柚釉鈾蚴湵唀肬遊輶秞嚘逌酉憂蕕哊诱貁莜牖鴢牗羑浟鲉銪呦聈郵瀀疣峳繇怮悠鄾莸游猶訧卣櫾誘禉怣鼬羐狖酭苃沋岰佑槱逰莠祐邮庮猷友蚰麀邎亴有宥攸尤偤楢蜏油耰丣峟侑泑牰駀尢迶尣蝤黝脜囿姷
yu,297,熨馀鱼髃緎纡喐茟隅琙淢玙軉盓蘛茰嵛蕍扜于玗秗嶼轝錥宇霱罭輍与舁鄃峪瘀叞豫毺唹俁蜮潏鴪亐礇傴尉瑜滪迂嬩屿窳域噊畭諛毓娯鳿瘉玉煜逳堣慾褕込蓣聥驈渔瑀飫諭悆謣畬楀虞衧觎欝灪逾偊余蜟臾漁棛愉娛燏欥矞爩伛斞庽饫釪鵌鰅欤聿狱棫欎斔鷸钰庾黦萭预隃雓喅稶育予楡籅雩萮懙隩伃蔚於醧踰戫歈萸焴嫗礖鯲肀籞齬昱祤扵禦鹬蓹砡渝堬窬蝓誉薁艅緰歶郁谕骬歟谷俼语裕忬雽睮兪圫迃榆羭螸旟芌桙峿腴喻鬻驭蕷預糓杅饇圄羽獄獝御媀蘌鬱穥櫲湡騟礜堉惐盂棜燠澞與谀鴥淤邘嵎愚鸒禺遇魊輿蒮栯菀嶎硢穻敔淯妤馭楰餘袬龉乻鄅貐窊喩愈鮽魚籲噳悇癒覦竽澦稢鸆鋊魣硲鈺遹璵虶寙鐭揄瘐寓酑吁俞銉箊鬰禹芋阈彧妪鍝紆俣鹆浴齵圉鵒篽語舆鷠崳雨挧匬螤欲粥閾繘娱譽狳
yuan,117,袁轅鶢禐寃猿縁尛渕怨謜圜眢瑗鹓黿鋺肙笎源鴛鼝蒬渁鎱緣掾厵圆苑願獂螈妧裫員剈鸳媛夗邧噮櫞宛橼淵鼋院傆原鈨愿圎園裷葾厡箢援蝯嬽溒蒝円辕鸢榞惌羱薗湲贠茒员遠垣榬衏囦騵冤塬鳶垸貟元褑渆酛灁駌芫棩猨爰逺缘鶰蜎蜵魭蚖嫄鵷褤远猭邍鼘蝝媴圓园妴渊杬沅
yue,69,月龥焥趯捳枂岳櫟耀哕瀹躍藥钥籥恱籆楽鑰狘閲粤玥跀說説樂妜閱嬳軏鈅跃蘥说蚏戉箹岄樾禴鸙鸑嶽爚栎约礿曰粵曜抈龠噦約曱乐篗蚎悦阅悅刖越檪钺籰泧鉞
yun,102,枃醖耘熨傊蘊云紜橒褞溳抎喗鶤慍缊芸蒕澐鋆磒筠愪腪郓秐榲恽韵愠殒耺煾韫醞阭畇縕眃夽韻殞韞鈗員匀妘郧霣饂沄篔涢酝賱蕓允伝昀蝹囩玧緼运贇贠狇员熉奫荺薀藴勻縜纭貟孕輑蒀狁赟熅雲蒷陨晕煴枟均惲隕氲鄆榅筼蕴暈氳運鄖緷
za,27,囐咋砸臜鉔韴扎拶偺沞雥紮杂鮺臢雑咂抸迊襍磼咱雜魳匝帀嶻
zai,22,栽渽扗載烖賳儎宰在再甾侢哉睵仔载崽災菑縡灾傤
zan,49,酇沯鄼傪倃攒贊昝儧儹禶赞攅噇拶簮偺趲瓉欑鐕穳撍趱暫讚攢襸喒饡讃揝錾瓒礸囋兂糌鏨簪賛桚咱瓚鵤灒暂寁橵
zang,25,臧鍺臓贓锗駔賍臟蔵髒牃銺弉驵賘赃羘贜牂脏奘匨塟藏葬
zao,36,糟譟棗造藻趮唕慥薻凿璪躁艁梍噪早澡皂蚤髞灶繰遭竈蹧唣醩皁傮鑿竉燥枣簉竃缲
ze,45,帻啧萴咋箦則諎昃幘賾側昗澤则稄蔶崱責汄齚皟擇侧择庂泽賊謮蠈蠌笮沢嘖瞔択舴赜簀迮怎耫夨仄责窄
zei,4,鲗鱡贼賊
zen,4,怎谮譛譖
zeng,23,磳贈譄鋥锃曽増矰囎璔赠綜憎繒增罾缯熷曾综橧甑驓
zha,70,蠿咋诈閘簎查詐渣喋宱紥箚札轧蜡譗鮓乍栅溠齇鲊灹踷铡炸皶楂霅謯抯剳甴劄榨闸査紮厏哳咜摣吒軋眨偧鲝蠟咤砟搾樝苲拃柞醡蚻茬皻蝋齄挓痄揸喳蚱扎柵柤鍘
zhai,26,岝砦斎夈鉙摘斋齊債責翟擇侧飵择宅祭债捚礋寨瘵択齋榸窄
zhan,81,譫譠栈颭讝趈氊氈鱣閚詀岾嶦虦展驏骣樿轏皽椾粘嶃鸇盏虥颤桟盞琖蘸驙沾呫鉆棧戦菚嶘嶄覱魙榐佔绽占薝瞻顫覘饘暫嫸栴斬旜偡搌飐站綻旃邅蹍輾醆蹔霑戰詹斩崭噡橏辗战鹯谵毡湛輚
zhang,52,痮瘬鄣瞕墇礃障幛暲瘴蟑粀张掌璋帳章帐傽麞彰漲杖彣獐慞丈账樟漳仗遧張镸蔁餦嫜仉兏嶂涱涨扙僟賬脹長长胀鞝鱆騿
zhao,51,駋棹朝赵盄趙著沼兆旐召爯晁啁炤瑵柖巶箌钊鍣燳妱着招曌肈肇雿鉊爪照嘲鵫詔枛罀摷肁釗瞾櫂垗罩笊菬狣找羄昭诏
zhe,66,懾這歽瓋鍺锗哲杔謫辙蜇摘著讁轍蔗謺晣詟谪折者这螫耴烢砓厇喆讘宅鷓慴着鮿埑啫嗻晢悊蛰襵柘鹧褶鸅嚞摺乽禇赭浙嫬蟅銸檡讋啠蟄籷遮虴磔輒輙辄
zhei,2,這这
zhen,112,眕萙碪嫃媜眞帧箴絼笉栚搸遉砧瑊幀獉针抮娠甄袗聄樼殝針珎胗診湞潧黰蒧酙鱵槇鎮阵镇揕抌塦黕蜄陣晸賑轸縥纼椹錱鍼貞缜臻侲鬒軫挋鴆酖弫圳祯縝堻稹浈蒖枕溱疹帪赈偵桢籈禛鷏珍朕振寊誫栕楨诊榛侦贞禎敶鉁祳紾真辴鍮靕轃駗鎭斟鸩蓁昣桭眹薽震畛
zheng,58,氶猙正踭铮爭鴊睁鏳愸聇佂拯姃鄭鑁征筝争蒸诤諍徴幀徰鬇箏峥篜糽怔癥烝崢整鯖钲埩掙鲭证郑挣眐狰揁抍撜鉦錚炡丁證政症徵証睜
zhi,246,窒祬栀袠虒旨滯植執幟汁織徏置職藢祑隲倁紙彘郅织支坁膣鷙馶稺禃贄氏秓厎芝躓椥懫筫锧袟迣秖躑軹致陟蟙沚厔蘵芖帙衼蟄猘熫鴙豒遰瘈滞疻跱踯殖吱紩铚劕骘秲狾抧炙樴墌疐直酯輊枝值聀垁豑搱觶穉寘忮釞膱猂跖礩挚綕夂銍凪职訨乿摭制掷嬂祉咫偫鴩懥痔祗鼅侄坧秪慹瓡瓆泜竓帋娡鸷駤鋕淽驇栉稙胝値卮豸帜滍址汥庤旘峙襧徝黹騺踬潌軄芷妷巵姪畤稚貭覟蹠蹢絷漐纸淛执只褁鯯治鴲蜘智贽洷螲搘櫛至馽秷梔指竕砋觯緻脂痣觢擿製轵庢翐志縶劧衹胑柣质趾犆臸挃櫍騭肢洔枳摯質崻雉轾秩憄扺之誌識识榰胵蛭陦腟祇隻恉鑕鴟阯梽止埴晊觗擲徵鳷知栺桎儨
zhong,61,塚鐘重泈妕鈡鍾種緟腫众煄妐舯媑彸衳踵衶忪瘇乑种狆钟伀終幒潨籦冢鴤歱銿仲忠炂衷偅蚛柊諥汷蹱盅终湩蔠喠螽衆刣中筗堹肿眾锺埫茽尰
zhou,77,绉咮婤轴烐呪皱赒啁噣甃銂菷葤咒疛辀謅鯞輈僽胄矪喌睭晝籒骤荮淍洀輖宙伷诌妰俼州冑繇侜籀炿晭紂帚駎籕妯週譸洲肘騆鸼粙驟珘鵃周舟酎軸賙郮盩箒徟皺纣詋怞诪縐粥昼碡
zhu,136,鼄鱁铢潴駐灟竺箸舳斸芧猪蛀硃槠坾祝瀦瞩住藸詝紵殶疰櫡鉒燝囑竹柱竚麆珠纻櫫助铸著藷趉羜蝫矚嵀欘邾诸篫窋祩濐诛袾觰燭筯罜築朮筑誅註注砫笁馵褚侏逐术杼煑柷壴佇驻属渚贮樦炷屬莇主孎煮駯劯跓瘃苎烛鑄洙麈茱諸笜翥櫧銖劚蛛絑鴸蠩諔軸嘱紸伫鮢鋳爥蠾苧炢術秼乼蠋豬陼貯拄軴朱眝丶躅蓫橥茿株飳
zhua,7,挝抓撾莴爪檛髽
zhuai,8,轉転转曳曵嘬跩拽
zhuan,47,颛饌轉砖転膞籑叀剸僎撰篿縳専专蟤鄟鱄灷馔传顓腞瑼啭賺堟耑赚專鷒贃瑑囀甎沌傳嫥磗磚塼转蒃篆竱襈譔
zhuang,27,狀妝状裝撞幢装妆娤弉僮壯梉莊壮壵糚庄焋庒奘荘戇樁桩粧戆
zhui,32,縋笍墜赘鴭追桘窡錺鵻骓锥坠腄隹硾椎餟贅膇騅礈譵惴綴錐缀鑆叕缒沝娺
zhun,17,窀準鶽衠宒准屯肫谆諄隼迍綧訰埻稕凖
zhuo,65,撯晫汋诼梲劅卓棁擢圴謶籱酌斱棹篧剢炪硺禚鷟著斲拙椓蝃泎啅斵缴琸棳穛烵擆蠗着斮镯槕啄焯丵斀鐯倬灂濯灼鐲彴茁斫捉鋜諑錣繳濁涿浊琢罬浞桌
zi,109,釨漬笫资稵镃姕赀芓锱兹孜頿紫秄嗞胾貲字緇鴜茡趦梓滓啙崰鈭虸蟕鍿鶿孖辎禌齍頾恣鲻趑吇滋吱荢扻著淄倳粢鯔剚姊龇礠杍茲眥錙牸嵫栥矷茈耔葘榟鰦子籽緕玆呰湽谘鶅秭仔姉諮胔自嗭鼒髭鎡觜訿澬椔缁訾輜茊齜秶洓紎渍資咨姿蠀呲孳眦鄑輺胏孶
zong,69,惾艐鬉嵸總椶搃鬷蓗糉偬翪猔総瘲倧從鬃朡蝬猣碂樅緃鯼倊忩腙怱繌纵綜骔踨堫熧枞嵏緵騌磫縦蹤揔鯮豵糭稯縂摠粽疭总综緫宗捴憁騣昮愡踪惣嵕棕葼潈傯縱
zou,27,驟赱棸揍驺媰箃騶郰緅諏鄒诹齺黀奏走菆鯫鯐鲰掫棷鄹陬邹謅
zu,31,族蹵嗾傶卒蒩踤鏃詛阻崪靻菹足踿組崒诅组祖鎺珇卆伜俎哫租爼镞鎐捽
zuan,16,攥饡纘赚繤纉缵纂儹鑚钻籫鑽賺躜躦
zui,36,厜觜噿嶊最纗墬逨辠鋷璻祽樶蕞檌洅朘栬嘴濢冣嶉醉嶵絊堆咀晬檇罪酻襊錊稡酔槜
zun,19,墫鐏遵撙鶎尊罇鱒噂俊嶟繜樽鳟譐壿鷷僔燇
zuo,38,秨繓昨咗糳坐鈼凿毑阼座唨岞酢嘬祚袏夎筰葃椊佐穝做怍左砟撮笮葄柞鑿蓙稓胙唑琢作
